simulation_id,team,points
0,Blue Springs,12
0,Blue Springs Sou,24
0,Blue Springs South,20
0,Carthage,14
0,Cor Jesu Academy,29
0,Eureka,88
0,Francis Howell,7
0,Francis Howell C,9
0,Francis Howell Central,0
0,Francis Howell North,0
0,Ft. Zumwalt Nort,0
0,Ft. Zumwalt North,0
0,Hickman,75
0,Jackson,26
0,Kickapoo,0
0,Kirkwood,156
0,Lafayette (Wildw,55
0,Lafayette (Wildwood),0
0,Lee's Summit,29
0,Lee's Summit Nor,55
0,Lee's Summit Wes,22
0,Lee's Summit West,12
0,Liberty,88
0,Liberty (Wentzvi,5
0,Liberty North,100
0,Lindbergh,21
0,MICDS,42
0,Marquette,114
0,Nixa,0
0,Oak Park,0
0,Ozark,0
0,Park Hill,14
0,Park Hill South,311
0,Parkway South,176
0,Pattonville,32
0,Pembroke Hill,109
0,Raymore-Peculiar,15
0,Republic,21
0,Rock Bridge,176
0,St. Joseph's Aca,276
0,St. Joseph's Academy,0
0,Staley,62
0,Truman,1
0,Westminster Chri,129
0,Westminster Christian Academy,0
1,Blue Springs,19
1,Blue Springs Sou,39
1,Blue Springs South,19
1,Carthage,16
1,Cor Jesu Academy,33
1,Eureka,75
1,Francis Howell,37
1,Francis Howell C,3
1,Francis Howell Central,0
1,Francis Howell North,0
1,Ft. Zumwalt Nort,34
1,Ft. Zumwalt North,0
1,Hickman,85
1,Jackson,35
1,Kickapoo,0
1,Kirkwood,154
1,Lafayette (Wildw,77
1,Lafayette (Wildwood),0
1,Lee's Summit,28
1,Lee's Summit Nor,49
1,Lee's Summit Wes,10
1,Lee's Summit West,9
1,Liberty,123
1,Liberty (Wentzvi,0
1,Liberty North,86
1,Lindbergh,28
1,MICDS,16
1,Marquette,110
1,Nixa,0
1,Oak Park,0
1,Ozark,12
1,Park Hill,14
1,Park Hill South,294
1,Parkway South,139
1,Pattonville,30
1,Pembroke Hill,97
1,Raymore-Peculiar,15
1,Republic,12
1,Rock Bridge,171
1,St. Joseph's Aca,284
1,St. Joseph's Academy,0
1,Staley,93
1,Truman,0
1,Westminster Chri,79
1,Westminster Christian Academy,0
2,Blue Springs,13
2,Blue Springs Sou,35
2,Blue Springs South,20
2,Carthage,13
2,Cor Jesu Academy,32
2,Eureka,72
2,Francis Howell,9
2,Francis Howell C,1
