simulation_id,team,points
0,Barstow,0
0,Belton,0
0,Bolivar,0
0,Camdenton,0
0,Capital City,10
0,Carl Junction,13
0,Central (Cape Girardeau),55
0,Central (Springfield),29
0,Clayton,72
0,Father Tolton,135
0,Ft. Zumwalt East,12
0,Ft. Zumwalt South,16
0,Glendale,28
0,Grain Valley,95
0,Grandview,0
0,Greenwood,7
0,Hannibal,4
0,Hillcrest,0
0,Holt,0
0,Incarnate Word Academy,0
0,Jefferson City,0
0,John Burroughs,120
0,Kearney,62
0,Ladue Horton Watkins,58
0,Lebanon,36
0,Lincoln College Prep,12
0,Logan-Rogersville,0
0,Louisiana,67
0,Lutheran South,36
0,Lutheran St. Charles,5
0,Marshfield,0
0,Mehlville,37
0,Monett,30
0,Nerinx Hall,83
0,Nevada,13
0,New Covenant Academy,0
0,North Point,0
0,Notre Dame (Cape Girardeau),0
0,Notre Dame de Sion,104
0,Parkway Central,219
0,Parkway North,1
0,Parkway West,72
0,Platte County,6
0,Poplar Bluff,3
0,Principia,17
0,Rockwood Summit,100
0,STEAM Academy,0
0,Savannah,0
0,Smith-Cotton,0
0,Smithville,0
0,St. Charles West,0
0,St. Dominic,0
0,St. Michael the Archangel,63
0,St. Pius X (Kansas City),0
0,St. Teresa's Academy,187
0,Summit Christian Academy,0
0,Timberland,23
0,Ursuline Academy,59
0,Villa Duchesne,124
0,Visitation Academy,166
0,Warrensburg,0
0,Washington,0
0,Webb City,4
0,Webster Groves,124
0,West Plains,18
1,Barstow,0
1,Belton,0
1,Bolivar,0
1,Camdenton,0
1,Capital City,11
1,Carl Junction,13
1,Central (Cape Girardeau),43
1,Central (Springfield),22
1,Clayton,70
1,Father Tolton,145
1,Ft. Zumwalt East,11
1,Ft. Zumwalt South,17
1,Glendale,42
1,Grain Valley,76
1,Grandview,0
1,Greenwood,7
1,Hannibal,0
1,Hillcrest,0
1,Holt,0
1,Incarnate Word Academy,0
1,Jefferson City,0
1,John Burroughs,108
1,Kearney,31
1,Ladue Horton Watkins,51
1,Lebanon,43
1,Lincoln College Prep,20
1,Logan-Rogersville,0
1,Louisiana,64
1,Lutheran South,32
1,Lutheran St. Charles,5
1,Marshfield,0
1,Mehlville,34
1,Monett,20
1,Nerinx Hall,65
1,Nevada,13
1,New Covenant Academy,0
1,North Point,0
1,Notre Dame (Cape Girardeau),1
1,Notre Dame de Sion,105
1,Parkway Central,235
1,Parkway North,2
1,Parkway West,102
1,Platte County,1
1,Poplar Bluff,0
1,Principia,27
1,Rockwood Summit,98
1,STEAM Academy,4
1,Savannah,4
1,Smith-Cotton,0
1,Smithville,0
1,St. Charles West,0
1,St. Dominic,0
1,St. Michael the Archangel,75
1,St. Pius X (Kansas City),0
1,St. Teresa's Academy,184
1,Summit Christian Academy,7
1,Timberland,19
1,Ursuline Academy,50
1,Villa Duchesne,148
1,Visitation Academy,172
1,Warrensburg,0
1,Washington,0
1,Webb City,0
1,Webster Groves,127
1,West Plains,21
2,Barstow,0
2,Belton,0
2,Bolivar,0
2,Camdenton,0
2,Capital City,10
2,Carl Junction,12
2,Central (Cape Girardeau),47
2,Central (Springfield),19
2,Clayton,61
2,Father Tolton,132
2,Ft. Zumwalt East,15
2,Ft. Zumwalt South,11
2,Glendale,29
2,Grain Valley,68
2,Grandview,0
2,Greenwood,16
2,Hannibal,9
2,Hillcrest,0
2,Holt,0
2,Incarnate Word Academy,5
2,Jefferson City,0
2,John Burroughs,108
2,Kearney,27
2,Ladue Horton Watkins,89
2,Lebanon,45
2,Lincoln College Prep,18
2,Logan-Rogersville,0
2,Louisiana,48
2,Lutheran South,32
2,Lutheran St. Charles,8
2,Marshfield,0
2,Mehlville,32
2,Monett,55
2,Nerinx Hall,67
2,Nevada,13
2,New Covenant Academy,0
2,North Point,0
2,Notre Dame (Cape Girardeau),0
2,Notre Dame de Sion,117
2,Parkway Central,226
2,Parkway North,0
2,Parkway West,83
2,Platte County,3
2,Poplar Bluff,0
2,Principia,21
2,Rockwood Summit,98
2,STEAM Academy,0
2,Savannah,0
2,Smith-Cotton,0
2,Smithville,8
2,St. Charles West,0
2,St. Dominic,0
2,St. Michael the Archangel,66
2,St. Pius X (Kansas City),0
2,St. Teresa's Academy,173
2,Summit Christian Academy,0
2,Timberland,26
2,Ursuline Academy,36
2,Villa Duchesne,148
2,Visitation Academy,175
2,Warrensburg,0
2,Washington,0
2,Webb City,5
2,Webster Groves,152
2,West Plains,12
3,Barstow,0
3,Belton,0
3,Bolivar,0
3,Camdenton,0
3,Capital City,20
3,Carl Junction,12
3,Central (Cape Girardeau),54
3,Central (Springfield),34
3,Clayton,69
3,Father Tolton,156
3,Ft. Zumwalt East,10
3,Ft. Zumwalt South,12
3,Glendale,44
3,Grain Valley,89
3,Grandview,0
3,Greenwood,6
3,Hannibal,7
3,Hillcrest,0
3,Holt,0
3,Incarnate Word Academy,0
3,Jefferson City,0
3,John Burroughs,111
3,Kearney,26
3,Ladue Horton Watkins,44
3,Lebanon,38
3,Lincoln College Prep,10
3,Logan-Rogersville,0
3,Louisiana,56
3,Lutheran South,30
3,Lutheran St. Charles,2
3,Marshfield,0
3,Mehlville,35
3,Monett,34
3,Nerinx Hall,79
3,Nevada,11
3,New Covenant Academy,0
3,North Point,0
3,Notre Dame (Cape Girardeau),0
3,Notre Dame de Sion,119
3,Parkway Central,202
3,Parkway North,0
3,Parkway West,85
3,Platte County,3
3,Poplar Bluff,0
3,Principia,15
3,Rockwood Summit,96
3,STEAM Academy,0
3,Savannah,0
3,Smith-Cotton,0
3,Smithville,0
3,St. Charles West,0
3,St. Dominic,0
3,St. Michael the Archangel,88
3,St. Pius X (Kansas City),0
3,St. Teresa's Academy,177
3,Summit Christian Academy,0
3,Timberland,22
3,Ursuline Academy,42
3,Villa Duchesne,128
3,Visitation Academy,179
3,Warrensburg,0
3,Washington,0
3,Webb City,15
3,Webster Groves,151
3,West Plains,14
4,Barstow,0
4,Belton,0
4,Bolivar,0
4,Camdenton,0
4,Capital City,7
4,Carl Junction,12
4,Central (Cape Girardeau),40
4,Central (Springfield),23
4,Clayton,65
4,Father Tolton,137
4,Ft. Zumwalt East,14
4,Ft. Zumwalt South,15
4,Glendale,44
4,Grain Valley,68
4,Grandview,0
4,Greenwood,11
4,Hannibal,6
4,Hillcrest,0
4,Holt,0
4,Incarnate Word Academy,2
4,Jefferson City,0
4,John Burroughs,118
4,Kearney,36
4,Ladue Horton Watkins,58
4,Lebanon,85
4,Lincoln College Prep,13
4,Logan-Rogersville,0
4,Louisiana,83
4,Lutheran South,30
4,Lutheran St. Charles,10
4,Marshfield,0
4,Mehlville,37
4,Monett,18
4,Nerinx Hall,58
4,Nevada,9
4,New Covenant Academy,0
4,North Point,0
4,Notre Dame (Cape Girardeau),0
4,Notre Dame de Sion,124
4,Parkway Central,247
4,Parkway North,0
4,Parkway West,85
4,Platte County,6
4,Poplar Bluff,0
4,Principia,20
4,Rockwood Summit,84
4,STEAM Academy,0
4,Savannah,4
4,Smith-Cotton,0
4,Smithville,0
4,St. Charles West,0
4,St. Dominic,0
4,St. Michael the Archangel,67
4,St. Pius X (Kansas City),0
4,St. Teresa's Academy,135
4,Summit Christian Academy,6
4,Timberland,23
4,Ursuline Academy,48
4,Villa Duchesne,124
4,Visitation Academy,179
4,Warrensburg,0
4,Washington,2
4,Webb City,17
4,Webster Groves,133
4,West Plains,22
5,Barstow,0
5,Belton,0
5,Bolivar,0
5,Camdenton,0
5,Capital City,13
5,Carl Junction,14
5,Central (Cape Girardeau),56
5,Central (Springfield),29
5,Clayton,63
5,Father Tolton,138
5,Ft. Zumwalt East,12
5,Ft. Zumwalt South,17
5,Glendale,27
5,Grain Valley,50
5,Grandview,0
5,Greenwood,7
5,Hannibal,17
5,Hillcrest,0
5,Holt,0
